PRT;30294;10371811
GBR;10536;4800291
FRA;8883;3618161
ESP;7408;3067209
DEU;5395;2115536
IRL;3077;1587771
ITA;3092;1220001
BEL;2089;891501
BRA;2006;800984
CHE;1579;737735
NLD;1918;737083
USA;1893;653577
CN;1104;444432
SWE;840;382958
AUT;947;370067
POL;773;347574
AGO;344;331909
RUS;575;301312
NOR;519;275788
ROU;465;262805
CHN;818;257905
DNK;389;191150
FIN;425;172220
ISR;403;135830
LUX;263;135215
MAR;234;132955
AUS;380;130547
NULL;459;97008
HUN;202;92024
TUR;213;78756
ARG;205;75085
JPN;183;69378
CZE;137;54359
GRC;118;52357
IND;144;51994
IRN;81;43360
EST;80;42158
HRV;91;40896
DZA;82;40009
LTU;73;36924
KOR;120;32258
SAU;45;30696
ARE;48;30211
MOZ;59;29545
BGR;68;26374
ZAF;78;24669
UKR;62;24468
MEX;75;24043
CHL;65;23776
COL;69;21628
LVA;51;21458
SVK;48;20207
SRB;54;19493
SVN;45;18916
NZL;63;18660
GEO;19;16198
NGA;30;16035
TUN;37;15701
TWN;43;15219
CPV;23;14904
CYP;45;14541
EGY;31;14435
THA;40;14209
ISL;26;13781
PHL;32;13620
URY;30;12892
SEN;11;12091
ECU;25;10621
BLR;24;10426
LBN;29;10139
IDN;25;9754
KAZ;19;9707
SGP;34;9344
OMN;19;9011
AZE;16;8972
PER;26;8725
GIB;15;8364
QAT;14;8102
HKG;23;7428
KWT;16;7127
VEN;21;7120
AND;7;6992
BGD;10;6917
MDV;12;6745
MYS;24;6613
PAK;13;6602
DOM;12;6217
MLT;17;5727
JOR;19;5389
GNB;9;5176
FRO;3;4933
BIH;12;4354
CRI;18;4279
IRQ;11;4080
CMR;10;3865
ALB;12;3747
PAN;8;3569
MAC;10;3405
CIV;6;3178
KEN;6;3084
MKD;9;3043
LKA;6;2889
MNE;5;2834
GHA;4;2832
VNM;8;2748
JAM;6;2680
JEY;8;2575
MUS;7;2424
BHR;5;2088
ARM;8;2003
SUR;5;1979
CUB;8;1812
TGO;2;1785
PRI;11;1679
LBY;8;1537
TZA;5;1486
MYT;2;1481
ETH;3;1398
GAB;4;1398
UZB;4;1168
TMP;3;1159
AIA;1;1060
CAF;5;1047
RWA;2;965
IMN;2;964
PLW;1;954
MCO;4;952
LIE;3;928
ABW;2;928
LAO;2;910
ZWE;4;869
SYR;3;864
BEN;3;864
SLE;1;850
ZMB;2;794
BOL;3;750
TJK;2;744
BWA;2;711
NCL;1;702
PRY;4;672
SYC;2;614
UMI;1;600
MRT;1;586
ATA;2;537
NAM;1;486
SLV;2;458
PYF;1;432
KIR;1;432
DMA;1;421
GLP;1;420
GGY;2;419
NIC;1;417
FJI;1;406
LCA;1;404
KHM;1;396
BRB;2;380
KNA;2;369
GTM;3;368
GUY;1;360
BHS;1;356
STP;2;344
COM;2;331
VGB;1;302
SDN;1;297
MMR;1;290
DJI;1;273
SMR;1;265
NPL;1;255
UGA;2;255
MWI;2;252
ATF;1;252
CYM;1;162
BDI;1;92
MLI;1;89
BFA;1;80
HND;1;79
ASM;1;72
MDG;1;44
