BB;Online TA;17313659
BB;Direct;3734782
BB;Offline TA/TO;3619377
HB;Online TA;3305959
SC;Online TA;2518695
HB;Offline TA/TO;1773279
HB;Direct;1117620
BB;Groups;882672
BB;Corporate;589747
HB;Groups;348982
FB;Offline TA/TO;154177
Undefined;Offline TA/TO;124655
FB;Direct;115421
Undefined;Direct;84209
BB;Aviation;83033
SC;Direct;69417
SC;Offline TA/TO;68532
Undefined;Groups;64628
FB;Online TA;51489
FB;Groups;17535
HB;Corporate;13919
Undefined;Online TA;13025
BB;Complementary;4351
Undefined;Corporate;4017
FB;Corporate;3588
SC;Corporate;1599
SC;Groups;1193
HB;Complementary;412
SC;Complementary;316
FB;Complementary;108
BB;Undefined;96
Undefined;Complementary;0
